Source_Name,RA,DEC,GLON,GLAT,Signif_Avg,Flux1000,Unc_Flux1000,Energy_Flux1000,Unc_Energy_Flux1000,SpectrumType,PL_Index,Unc_PL_Index,Pivot_Energy,LP_Index,Unc_LP_Index,LP_Beta,Unc_LP_beta,Flags,CLASS,ASSOC1,ASSOC_PROB_BAY,ASSOC_PROB_LR,Counterpart_Catalog,RA_Counterpart,DEC_Counterpart,Unc_Counterpart,VLBI_Counterpart,Gaia_Counterpart,Gaia_G_Magnitude,Redshift,SED_class,nu_syn,nuFnu_syn,Variability_Index,Frac_Variability,Unc_Frac_Variability,Highest_energy
4FGL J0002.1-6728,0.5378,-67.4746,310.08493,-48.963467,11.558185,2.2861259E-10,3.4612122E-11,2.8217526E-12,4.3319076E-13,PowerLaw,1.8019888,0.09519692,4380.837,1.6902436,0.14996767,0.1313003,0.07734571,0,bcu,SUMSS J000215-672653,0.9966394,0.9044934,rfc,0.563303229167,-67.4481760667,1.6E-05,RFC J0002-6726,Gaia DR2: 4707413417751868800,18.4183,-inf,,0.0,0.0,10.018329,0.27502185,0.25776625,52.1518
4FGL J0015.9+2440,3.9917,24.6805,112.76397,-37.48992,8.170248,2.1649577E-10,3.7419127E-11,2.4443232E-12,4.4011553E-13,PowerLaw,2.1628017,0.15662351,2312.8862,2.2232592,0.1299406,-0.04911716,0.047290523,0,bcu,GB6 J0016+2440,0.9978396,0.8603775,wise,4.01507039167,24.6707497861,7.7E-07,RFC J0016+2440,Gaia DR2: 2849422114670178048,18.0138,-inf,,0.0,0.0,12.560624,0.34824002,0.24432,-inf
4FGL J0023.7-6820,5.9347,-68.3381,306.7893,-48.58217,12.622714,2.340999E-10,3.18748E-11,5.0131353E-12,4.569598E-13,PowerLaw,2.765263,0.07592258,453.92496,2.7319782,0.09677886,0.11925611,0.068275884,0,bcu,PKS 0021-686,0.996154,0.97795117,rfc,6.028012125,-68.3484964083,5.3E-07,RFC J0024-6820,Gaia DR2: 4703376358948181504,17.4405,-inf,LSP,22646444000000.0,5.6963804E-12,29.871029,0.461667,0.1593101,10.0
4FGL J0039.1-2219,9.7782,-22.3276,92.03161,-84.4438,9.915741,2.1630196E-10,3.5325177E-11,2.6567249E-12,4.6062936E-13,PowerLaw,1.8083013,0.11062812,3772.8774,1.7119788,0.16711996,0.08384782,0.08250741,0,bcu,PMN J0039-2220,0.99429685,0.93249863,at20g,9.7842046875,-22.3337442694,4.1E-07,RFC J0039-2220,Gaia DR2: 2349879381914900736,17.2929,0.0615,,0.0,0.0,6.3340545,0.0,10.0,10.0
4FGL J0045.1-3706,11.2936,-37.1065,310.09497,-79.93449,18.924723,4.366974E-10,4.2887208E-11,6.9444867E-12,4.618259E-13,PowerLaw,2.5614772,0.058039524,543.1688,2.5496602,0.06477006,0.018765567,0.037044775,0,bcu,PKS 0042-373,0.99903476,0.96723986,crates,11.3002753833,-37.0967962694,1.6E-07,RFC J0045-3705,Gaia DR2: 5001107232822340864,17.8875,-inf,LSP,5370318000000.0,9.893569E-13,96.88583,0.62831956,0.18176392,10.3385
4FGL J0048.6-2427,12.1709,-24.4541,109.72765,-87.254944,6.6033983,1.7192611E-10,3.554998E-11,1.921118E-12,3.9805786E-13,PowerLaw,2.0008628,0.13629924,2795.7139,1.9724013,0.18760127,0.10201614,0.09754893,0,bcu,1RXS J004836.9-242631,0.99290216,0.0,wise,12.1540846708,-24.4482163806,3.7E-07,RFC J0048-2426,Gaia DR2: 2345598429096508160,18.4343,-inf,ISP,562341300000000.0,1.1781592E-12,7.976978,0.19277498,0.64334023,16.5106
4FGL J0049.6-4500,12.4188,-45.0086,303.94653,-72.11618,7.3888035,1.5284946E-10,2.846163E-11,2.2343477E-12,3.773454E-13,PowerLaw,2.4936907,0.13262971,929.48596,2.2274663,0.31279716,0.2876916,0.22804295,0,bcu,PMN J0049-4457,0.9182985,0.92325866,bzcat,12.3192668333,-44.9531012194,5.8E-07,RFC J0049-4457,Gaia DR2: 4982480582432115712,18.1246,0.121,LSP,3388441600000.0,6.942933E-12,12.53484,0.4870192,0.27437872,10.0
4FGL J0121.8-3916,20.4704,-39.2682,277.26886,-76.304276,10.558885,2.1877447E-10,3.476141E-11,2.6115006E-12,4.339939E-13,PowerLaw,1.8481876,0.105453685,3501.2397,1.7666329,0.14950037,0.09072005,0.07370718,0,bcu,NVSS J012152-391547,0.9989422,0.8821089,rfc,20.4695852542,-39.2622973444,6.7E-06,RFC J0121-3915,Gaia DR2: 5009413635149573376,18.422,-inf,HSP,1584893100000000.0,6.992734E-13,11.306208,0.35871804,0.26975963,43.8715
4FGL J0132.7-0804,23.1832,-8.0738,152.00343,-68.58237,9.047406,2.3757826E-10,4.078394E-11,2.8911973E-12,5.2345693E-13,PowerLaw,1.8205769,0.11013816,3647.4338,1.6927472,0.17393605,0.15802105,0.101507805,0,bcu,PKS 0130-083,0.9969701,0.9660044,at20g,23.1713585917,-8.06801028611,2.8E-07,RFC J0132-0804,Gaia DR2: 2477246877595771520,18.1806,0.1485,ISP,312607950000000.0,2.753417E-12,1.2284389,0.0,10.0,40.6891
4FGL J0150.6-5448,27.6655,-54.8033,285.64145,-60.292126,6.959935,1.5233659E-10,2.980193E-11,1.6957167E-12,3.3045422E-13,PowerLaw,2.025385,0.15747054,2845.5317,1.92111,0.38896865,0.054697752,0.19491835,0,bcu,PMN J0150-5450,0.9959944,0.0,rfc,27.685556325,-54.8347382111,1.9E-06,RFC J0150-5450,Gaia DR2: 4911862313537417728,18.112,-inf,HSP,3981071800000000.0,1.5532953E-12,4.6881,0.0,10.0,40.9012
